CITY,COLOR,POPULATION,STATE-RANK,STATE,AVG. RANK,OVERALL RANK,GOOGLE SEARCH VOLUME,WEIGHTED BY POPULATION,RANK FOR GSV,GOOGLE TREND,RANK FOR GSV INCREASE,MOST SEARCHED MONTH,AVG. PRECIPITATION (MM),RANK FOR PRECIPITATION,ANNUAL MAX TEMPERATURE ,RANK FOR TEMPERATURE,MEDIAN YEAR BUILT,RANK FOR YEAR BUILT,POPULATION DENSITY / sq mi,RANK FOR POPULATION DENSITY
Oxnard,#f6b26b,"202,063",3,California,113.17,119,200,98.98,150,0.00%,130,September,265.00,197,21.00,114,1978,67,"7,616.00",21
Stamford,#f6b26b,"135,470",39,Connecticut,113.17,120,180,132.87,107,-67.00%,205,July,"1,183.00",94,17.00,158,1968,23,"3,601.00",92
Rogers,#f6b26b,"69,908",15,Arkansas,113.17,121,110,157.35,87,200.00%,21,April,"1,219.00",77,20.00,118,1999,203,"1,877.00",173
Chicago,#f6b26b,"2,746,388",7,Illinois,113.33,122,970,35.32,209,8.00%,98,August,"1,062.00",122,15.00,197,1972,47,"12,059.00",7
Salinas,#f6b26b,"163,542",3,California,113.33,123,160,97.83,152,0.00%,131,October,319.00,188,20.00,124,1976,58,"6,956.00",27
Tucson,#f6b26b,"542,629",21,Arizona,113.33,124,470,86.62,169,167.00%,24,October,279.00,194,29.00,10,1987,131,"2,251.00",152
Raleigh,#f6b26b,"467,665",14,North Carolina,114.00,125,520,111.19,135,100.00%,42,November,"1,175.00",97,22.00,93,2001,209,"3,148.00",108
Scranton,#f6b26b,"76,328",9,Pennsylvania,114.17,126,100,131.01,111,0.00%,132,March,"1,031.00",128,15.00,198,1959,3,"3,016.00",113
Urban Honolulu,#f6b26b,"350,964",41,Hawaii,114.67,127,170,48.44,205,-33.00%,174,May,426.00,179,27.00,32,1977,61,"5,791.00",37
Sacramento,#f6b26b,"524,943",3,California,115.50,128,560,106.68,139,-6.00%,153,April,437.00,177,24.00,71,1985,111,"5,323.00",42
Wichita,#f6b26b,"397,532",23,Kansas,116.00,129,210,52.83,201,200.00%,22,July,958.00,141,20.00,122,1979,75,"2,454.00",135
Gulfport,#f6b26b,"72,926",24,Mississippi,116.17,130,120,164.55,80,-50.00%,188,June,"1,630.00",6,25.00,52,1993,171,"1,311.00",200
Chula Vista,#f6b26b,"275,487",3,California,116.67,131,350,127.05,118,-29.00%,167,June,220.00,206,23.00,80,1981,90,"5,548.00",39
Knoxville,#f6b26b,"190,740",5,Tennessee,117.17,132,260,136.31,103,0.00%,133,June,"1,312.00",41,21.00,107,1988,151,"1,931.00",168
Columbia,#f6b26b,"136,632",18,South Carolina,117.33,133,370,270.80,24,-20.00%,162,May,"1,217.00",80,25.00,57,1992,169,991.00,212
Savannah,#f6b26b,"147,780",13,Georgia,117.67,134,150,101.50,146,100.00%,43,June,"1,210.00",82,25.00,58,1994,175,"1,300.00",202
Washington,#f6b26b,"689,545",NA,District of Columbia,118.00,135,600,87.01,168,-37.00%,179,September,"1,093.00",112,19.00,132,1984,107,"11,280.00",10
Thousand Oaks,#f6b26b,"126,966",3,California,119.17,136,180,141.77,98,0.00%,134,March,299.00,192,23.00,79,1978,65,"2,297.00",147
Mesa,#f6b26b,"504,258",21,Arizona,119.50,137,510,101.14,147,21.00%,90,August,207.00,208,30.00,3,1995,179,"3,633.00",90
San Antonio,#f6b26b,"1,434,625",1,Texas,120.00,138,1190,82.95,174,65.00%,54,April,818.00,158,27.00,30,1995,183,"2,875.00",121
Springdale,#f6b26b,"84,161",15,Arkansas,120.00,139,100,118.82,125,500.00%,2,November,"1,192.00",90,20.00,119,1999,204,"1,711.00",180
Milwaukee,#f6b26b,"577,222",26,Wisconsin,120.17,140,490,84.89,171,0.00%,135,May,951.00,144,14.00,208,1968,29,"6,001.00",34
Fayetteville,#f6b26b,"93,949",15,Arkansas,120.17,141,160,170.31,73,100.00%,44,July,"1,158.00",100,20.00,120,1999,205,"1,726.20",179
Ormond Beach,#f6b26b,"43,080",2,Florida,120.33,142,90,208.91,45,-50.00%,189,July,"1,159.00",99,27.00,26,1990,158,"1,238.00",205
